Prey,Bait,Score
NDH19G42600.1,Contig1G01680.1,1
NDH05G01540.2,NDH20G01050.1,1
NDH16G25140.1,NDH09G13400.1,1
NDH19G35080.1,NDH13G18380.1,1
NDH20G08330.1,NDH20G20390.1,1
NDH03G48250.1,NDH18G17331.1,1
NDH01G35990.3,NDH19G08600.1,1
NDH12G10950.1,NDH10G22250.1,1
NDH20G06170.1,NDH09G36480.1,1
NDH20G06560.1,NDH13G25191.1,1
NDH20G18500.1,NDH05G17190.1,1
NDH06G21290.1,NDH13G45090.1,1
NDH14G05330.1,NDH19G07590.1,1
NDH19G37400.1,NDH06G01000.3,1
NDH13G05760.1,NDH09G23440.1,1
NDH10G30320.1,NDH12G35150.1,1
NDH19G08380.1,NDH16G14030.4,1
NDH13G25980.1,NDH11G02470.1,1
NDH17G25660.3,NDH06G23240.1,1
NDH15G36830.1,NDH11G36270.1,1
NDH18G10880.1,NDH13G24230.1,1
NDH10G17060.1,NDH06G01000.2,1
NDH16G04210.1,NDH06G23240.1,1
NDH10G30330.1,NDH09G36210.1,1
NDH08G30020.1,NDH06G21670.1,1
NDH06G21910.1,NDH09G23440.1,1
NDH11G24010.1,NDH18G05060.1,1
NDH06G35520.1,NDH08G20110.1,1
NDH13G24230.1,NDH18G23560.1,1
NDH08G20110.1,NDH17G19580.1,1
NDH20G38110.1,NDH05G04720.1,1
NDH15G26260.3,NDH05G02470.1,1
NDH17G27570.1,NDH03G30780.1,1
NDH15G39190.1,NDH13G50880.2,1
NDH20G38110.1,Contig1G01750.1,1
NDH06G05200.1,NDH01G04880.1,1
NDH18G10860.1,NDH05G04820.1,1
NDH13G21330.1,NDH05G28820.1,1
NDH15G39660.1,NDH04G09260.1,1
NDH10G30320.1,NDH08G20140.1,1
NDH20G08330.1,NDH13G50250.1,1
NDH14G14070.1,NDH15G32360.1,1
NDH06G21290.1,NDH06G01000.3,1
NDH10G29460.1,NDH14G03080.1,1
NDH13G50890.1,NDH13G50890.1,1
NDH13G00670.1,NDH15G31020.1,1
NDH20G38120.1,NDH12G35690.1,1
NDH09G23440.1,NDH13G07330.1,1
NDH06G28590.1,NDH19G36450.1,1
NDH15G02060.3,NDH05G02900.2,1
NDH09G28670.1,NDH13G44100.1,1
NDH10G18680.1,NDH05G39490.1,1
NDH06G13390.2,NDH16G13210.7,1
NDH01G27500.1,NDH17G20860.3,1
NDH19G19600.1,NDH06G01000.3,1
NDH14G31720.1,NDH14G10340.1,1
NDH20G03830.1,NDH09G30660.1,1
NDH09G13400.1,NDH05G04530.1,1
NDH14G07260.2,NDH09G28490.2,1
NDH20G40950.1,NDH13G01380.1,1
NDH06G01000.4,NDH06G01000.3,1
NDH05G10300.1,NDH08G17320.1,1
NDH19G12340.1,NDH09G34520.1,1
NDH06G01000.4,NDH16G37820.1,1
NDH04G34980.3,NDH10G22950.1,1
NDH05G32410.1,NDH06G01230.1,1
NDH06G01000.4,NDH15G16660.1,1
NDH11G02470.1,NDH18G03090.1,1
NDH20G38120.1,NDH16G38830.1,1
NDH06G38170.1,NDH06G01000.4,1
NDH13G44740.2,NDH14G03830.1,1
NDH05G39550.1,NDH16G13210.4,1
NDH12G24310.2,NDH18G29710.3,1
NDH11G35060.1,NDH05G39850.3,1
NDH15G05270.1,NDH07G04971.1,1
NDH19G38710.1,NDH06G21290.1,1
NDH06G18370.1,NDH01G26920.1,1
NDH10G29950.1,NDH20G11190.1,1
NDH13G01550.1,NDH06G01000.4,1
NDH16G13670.1,NDH10G28610.3,1
NDH06G09620.1,NDH16G24840.1,1
NDH12G02050.1,NDH06G04670.1,1
NDH03G41910.1,NDH18G09490.1,1
NDH05G39550.1,NDH16G40200.1,1
NDH10G05010.1,NDH20G06580.1,1
NDH20G24260.1,NDH03G06460.1,1
NDH06G31450.1,NDH17G20860.3,1
NDH15G32490.1,NDH13G16250.2,1
NDH08G08860.1,NDH09G27530.1,1
NDH14G21220.1,NDH03G41190.1,1
NDH01G32821.1,NDH16G10640.1,1
NDH05G04530.1,NDH16G14050.3,1
